word,frequency,year,term,source_pdf
science,6,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
shopping,6,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
shrine,6,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
stage,6,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
temple,6,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
warming,6,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
well,6,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
writer,6,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
acted,5,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
adhesive,5,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
aim,5,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
amount,5,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
animal,5,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
antidepressant,5,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
attack,5,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
become,5,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
better,5,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
colour,5,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
company,5,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
department,5,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
discovered,5,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
drug,5,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
enough,5,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
environment,5,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
eye,5,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
find,5,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
fingerprint,5,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
found,5,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
ghrelin,5,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
government,5,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
group,5,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
heart,5,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
help,5,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
important,5,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
issued,5,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
jungle,5,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
king,5,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
language,5,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
last,5,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
like,5,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
little,5,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
living,5,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
look,5,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
lot,5,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
loud,5,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
medication,5,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
object,5,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
ocean,5,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
participant,5,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
past,5,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
postage,5,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
postal,5,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
power,5,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
purpose,5,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
rather,5,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
reason,5,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
sent,5,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
single,5,2016,Yds_Bahar,2016_YDS_ILKBAHAR_INGILIZCE.pdf
